hotel_name,hotel_name_link,review_score,review_score_text,review_score_title,hotel_image,hotel_price
Hotel Borobudur Jakarta,"
/hotel/id/borobudur-jakarta.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=e13d2998297ae023767ee45cddd9434a&all_sr_blocks=2845719_265006983_0_41_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=332&highlighted_blocks=2845719_265006983_0_41_0&hpos=7&no_rooms=1&sr_order=popularity&sr_pri_blocks=2845719_265006983_0_41_0__225000000&srepoch=1613475443&srpvid=525251b9a14a0061&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",8.3,656 reviews,Very good,https://cf.bstatic.com/xdata/images/hotel/square600/178617715.jpg?k=43ca5de1357a5df33be64feed80caa4746edf612efee3f81328286f056c713d9&o=,"Rp 2,250,000"
Veranda Serviced Residence Puri,"
/hotel/id/veranda-serviced-residence-puri.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=e13d2998297ae023767ee45cddd9434a&all_sr_blocks=384397604_245575624_0_2_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=333&highlighted_blocks=384397604_245575624_0_2_0&hpos=8&no_rooms=1&sr_order=popularity&sr_pri_blocks=384397604_245575624_0_2_0__48829999&srepoch=1613475443&srpvid=525251b9a14a0061&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",7.7,61 reviews,Good,https://cf.bstatic.com/xdata/images/hotel/square600/165462895.jpg?k=8ef4499bca606f17b1d6b4c6a362a1db32d84a4c7c837a6f358109a8f27bd507&o=,"Rp 488,300"
RedDoorz Resort @ Taman Wisata Mangrove,"
/hotel/id/reddooz-resort-mangrove-pik-jakarta1.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=e13d2998297ae023767ee45cddd9434a&all_sr_blocks=521660601_285361639_0_0_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=334&highlighted_blocks=521660601_285361639_0_0_0&hpos=9&no_rooms=1&sr_order=popularity&sr_pri_blocks=521660601_285361639_0_0_0__19125000&srepoch=1613475443&srpvid=525251b9a14a0061&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",7.1,57 reviews,Good,https://cf.bstatic.com/xdata/images/hotel/square600/206673986.jpg?k=66f6e2d3b2fe6f5f5160f9fe50540f5ca8acc0ac2a759a2f435ad89bb25f2e4b&o=,"Rp 191,250"
Vayassi House Syariah,"
/hotel/id/vayassi-house.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=e13d2998297ae023767ee45cddd9434a&all_sr_blocks=353356201_117952589_0_0_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=335&highlighted_blocks=353356201_117952589_0_0_0&hpos=10&no_rooms=1&sr_order=popularity&sr_pri_blocks=353356201_117952589_0_0_0__19012899&srepoch=1613475443&srpvid=525251b9a14a0061&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",8.4,8 reviews,Very good,https://cf.bstatic.com/xdata/images/hotel/square600/259072465.jpg?k=ded03b58eab1418e4a907464231dd869f2de4ebf3b4c19ccc894a5bb27686940&o=,"Rp 190,129"
Grand Picasso Hotel,"
/hotel/id/grand-picasso.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=e13d2998297ae023767ee45cddd9434a&all_sr_blocks=382284903_269094672_0_1_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=336&highlighted_blocks=382284903_269094672_0_1_0&hpos=11&no_rooms=1&sr_order=popularity&sr_pri_blocks=382284903_269094672_0_1_0__39563999&srepoch=1613475443&srpvid=525251b9a14a0061&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",7.8,348 reviews,Good,https://cf.bstatic.com/xdata/images/hotel/square600/167696411.jpg?k=cf1ffbfb8d57bb657c52b0389875915734a2f8061a2657751cfd0a630214b77d&o=,"Rp 395,640"
OYO 1941 Aaa Residence Syariah,"
/hotel/id/oyo-1941-aaa-residence-syariah.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=e13d2998297ae023767ee45cddd9434a&all_sr_blocks=577016502_280806714_2_0_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=337&highlighted_blocks=577016502_280806714_2_0_0&hpos=12&no_rooms=1&sr_order=popularity&sr_pri_blocks=577016502_280806714_2_0_0__18564399&srepoch=1613475443&srpvid=525251b9a14a0061&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",7.8,24 reviews,Good,https://cf.bstatic.com/xdata/images/hotel/square600/258312562.jpg?k=6bfd767d7f28ae5e96131afe58ca3cb6b52c29f77baadfa9cab6a1d3b48f25fd&o=,"Rp 185,644"
favehotel Gatot Subroto Jakarta,"
/hotel/id/favehotel-gatot-subroto-jakarta.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=e13d2998297ae023767ee45cddd9434a&all_sr_blocks=67388502_190328225_0_2_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=338&highlighted_blocks=67388502_190328225_0_2_0&hpos=13&no_rooms=1&sr_order=popularity&sr_pri_blocks=67388502_190328225_0_2_0__41311999&srepoch=1613475443&srpvid=525251b9a14a0061&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",7.8,119 reviews,Good,https://cf.bstatic.com/xdata/images/hotel/square600/72512386.jpg?k=056c6de90e9970846e05f4c47bf615a626b2e244dd7ef81acb0c2876f629f728&o=,"Rp 413,120"
Blossom Resident Blok M,"
/hotel/id/wisma-blossom-kota-jakarta-selatan.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=e13d2998297ae023767ee45cddd9434a&all_sr_blocks=274128104_110608699_2_0_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=339&highlighted_blocks=274128104_110608699_2_0_0&hpos=14&no_rooms=1&sr_order=popularity&sr_pri_blocks=274128104_110608699_2_0_0__21972600&srepoch=1613475443&srpvid=525251b9a14a0061&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",7.9,12 reviews,Good,https://cf.bstatic.com/xdata/images/hotel/square600/211138724.jpg?k=a91baffbfbb6ee5f2ed5e0103d8133b0eb599039fd531241623225fd7b1e0be4&o=,"Rp 219,726"
RedDoorz Plus @ Radio Dalam 2,"
/hotel/id/reddoorz-radio-dalam-2.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=e13d2998297ae023767ee45cddd9434a&all_sr_blocks=171349801_273401572_0_0_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=341&highlighted_blocks=171349801_273401572_0_0_0&hpos=16&no_rooms=1&sr_order=popularity&sr_pri_blocks=171349801_273401572_0_0_0__19600899&srepoch=1613475443&srpvid=525251b9a14a0061&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",7.4,20 reviews,Good,https://cf.bstatic.com/xdata/images/hotel/square600/264012652.jpg?k=2528c5417a04c5b1d308851a4f4e49cf27395a1562ac1f163794df16cdafe4e9&o=,"Rp 196,009"
OYO 366 Thamadhiro Residence,"
/hotel/id/oyo-366-thamadhiro-residence.en-gb.html?aid=304142&label=gen173rf-1FCAEoggI46AdIM1gDaGiIAQGYATG4ARfIAQzYAQHoAQH4AQKIAgGiAgptZWRpdW0uY29tqAIDuALQu66BBsACAdICJGY2OGM2ZmU4LTQwZWYtNDMxNy1hYjNhLWJmN2U5ODA3ZmU1NNgCBeACAQ&sid=e13d2998297ae023767ee45cddd9434a&all_sr_blocks=476736002_277968801_2_0_0&checkin=2021-02-20&checkout=2021-02-21&dest_id=-2679652&dest_type=city&group_adults=2&group_children=0&hapos=342&highlighted_blocks=476736002_277968801_2_0_0&hpos=17&no_rooms=1&sr_order=popularity&sr_pri_blocks=476736002_277968801_2_0_0__15552600&srepoch=1613475443&srpvid=525251b9a14a0061&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl",7.1,29 reviews,Good,https://cf.bstatic.com/xdata/images/hotel/square600/280218660.jpg?k=9801411630cbba591b82141ac125403cb4a7819551af880f39e7e2fd71486098&o=,"Rp 155,526"
